id,name,n_samples,n_features,fold,CPF R2,Lasso R2 alpha=0.01,Lasso n_trees,Lasso R2 alpha=0.1,Lasso R2 alpha=1,Lasso R2 alpha=10
1,Abalone,4177,8,1,0.5554651184737991,0.47027581491940673,0,0.49490518723347754,0.5162400887774857,-0.000276149646651902
1,Abalone,4177,8,2,0.5310018883357016,0.40673961418662874,0,0.44242293892890483,0.48594931287414245,-0.007423356395585001
1,Abalone,4177,8,3,0.5663297593204313,0.5166748594959111,0,0.5412670045776447,0.5614697218562242,-0.00034576733678370886
1,Abalone,4177,8,4,0.561822437814167,0.48827752538707214,0,0.5271643920903124,0.5432151488391181,-0.004722478718579115
1,Abalone,4177,8,5,0.5567893680787608,0.4989124905850526,0,0.5225951711810903,0.5435552055203017,-1.8370506923881535e-05
9,Auto MPG,392,7,1,0.8739227212899702,0.8613591754920713,17,0.887270555196944,0.8954991357740855,0.8780947536115882
9,Auto MPG,392,7,2,0.8582211119448502,0.8034300007000779,18,0.8317286867439599,0.8453450542874976,0.8493568613825536
9,Auto MPG,392,7,3,0.8530361523868708,0.8328539692163128,17,0.8487685801619744,0.8514330580332066,0.8340531550978953
9,Auto MPG,392,7,4,0.9030345066703811,0.8591991782850246,16,0.8738660064622155,0.887843861923283,0.8438526793559358
9,Auto MPG,392,7,5,0.8937683866124888,0.8769601759425728,16,0.8901085342811874,0.8936439330279419,0.865965924820918
10,Automobile,159,25,1,0.822393637802887,0.819446000331079,0,0.8179811533103487,0.3483236519253655,-0.09318618637237286
10,Automobile,159,25,2,0.43011758082097196,0.40488729738215723,0,0.3039172156219704,0.2674604336882719,-0.0121107578572901
10,Automobile,159,25,3,0.8640034965946656,0.8748519378711228,0,0.8461952570710097,0.4504143345234014,-0.117878196152432
10,Automobile,159,25,4,0.4959400413499666,0.44964558915770114,0,0.38468280814550304,0.12699349889691103,-0.04201340109997287
10,Automobile,159,25,5,0.7410776549105604,0.7198586265608167,0,0.7381081535457852,0.3923636295034548,-0.004882167478533539
60,Liver Disorders,345,5,1,0.10393237341410155,-0.11536501041397873,0,-0.06572988315390482,-0.019135802866741214,-0.00013596473919452734
60,Liver Disorders,345,5,2,0.06313749695545634,-0.25999226623847504,0,-0.2395603929510708,-0.1702833005014195,-0.029958681107578045
60,Liver Disorders,345,5,3,0.30057807267937275,-0.275307464066989,0,0.03480944879012082,0.20218418085291456,-0.0110814062721174
60,Liver Disorders,345,5,4,-0.06578851331840241,-0.6220127751504743,0,-0.33022440817119825,-0.12837033489247962,-0.02867140698087889
60,Liver Disorders,345,5,5,0.282203033431887,0.19503274470225362,0,0.2725109647954096,0.27272523184816155,-0.018581793706150762
87,Servo,167,4,1,0.6711429345424892,0.5258362691364775,0,0.573430632030509,0.710786769487286,-0.019583407427398614
87,Servo,167,4,2,0.9134133861982612,0.9425861840652722,0,0.9389848774900753,0.7992655617933199,-0.04168688084730454
87,Servo,167,4,3,0.891267981713976,0.8588896584562388,0,0.8621050061712292,0.8027188121748101,-0.02279741773257693
87,Servo,167,4,4,0.903967439454193,0.9814909727322788,0,0.978013267838648,0.7492808949130365,-0.010559323141670518
87,Servo,167,4,5,0.8215943167625236,0.8894311467275478,0,0.8750565232323012,0.6832320534513352,-0.0030667484608046802
162,Forest Fires,517,12,1,0.0330163067823408,-0.1438753560161381,0,-0.14204943703435302,-0.01162997227071938,-0.0006198048100356512
162,Forest Fires,517,12,2,-0.011625015745591938,-0.2633358519055622,0,-0.1958346412873404,0.021838573052980648,-2.0929553343762564e-06
162,Forest Fires,517,12,3,-0.04792145930611058,-0.5047978162453173,0,-0.5436782999961323,-0.12416475929620963,-0.0019331956943433592
162,Forest Fires,517,12,4,-0.04536380324982803,-0.16919067503681906,0,-0.1629497838223446,0.007532316158156083,-0.0021005774016540357
162,Forest Fires,517,12,5,-0.04863513303935707,-0.28674147821156293,0,-0.21045958649470342,0.03693322093128559,-0.01855460196184522
165,Concrete Compressive Strength,1030,8,1,0.913433200872361,0.887831587976675,41,0.8877285059214852,0.9019996247146308,0.9015894607093472
165,Concrete Compressive Strength,1030,8,2,0.8889466007901634,0.8941415213739183,39,0.8948249952008333,0.8956592435619659,0.8923473969224366
165,Concrete Compressive Strength,1030,8,3,0.9100898510742955,0.9118272923110826,36,0.9144552210199971,0.9139665891988394,0.91351256309025
165,Concrete Compressive Strength,1030,8,4,0.9079306666785117,0.8956532732765868,39,0.9037478095247748,0.9072216350128504,0.908293686457782
165,Concrete Compressive Strength,1030,8,5,0.9293856127904782,0.927028653841726,32,0.9310940201617202,0.9343319928469774,0.9329763012068452
183,Communities and Crime,1993,100,1,0.6466542581626393,0.6193414869880742,0,-0.0026793104083384645,-0.0026793104083384645,-0.0026793104083384645
183,Communities and Crime,1993,100,2,0.6567074416770791,0.6464458063198972,0,-0.0007847594330543384,-0.0007847594330543384,-0.0007847594330543384
183,Communities and Crime,1993,100,3,0.6653865054028214,0.6579852052137839,0,-0.0008668835283962562,-0.0008668835283962562,-0.0008668835283962562
183,Communities and Crime,1993,100,4,0.6559327554294749,0.6495541727868941,0,-0.0007611576848338686,-0.0007611576848338686,-0.0007611576848338686
183,Communities and Crime,1993,100,5,0.7065193934613381,0.6827971480011754,0,-0.0006019209432102102,-0.0006019209432102102,-0.0006019209432102102
186,Wine Quality,6497,11,1,0.4880706691153046,0.48150416228793047,0,0.4892160369897113,-0.0005063320339124822,-0.0005063320339124822
186,Wine Quality,6497,11,2,0.5081165900435516,0.5067430872809632,0,0.4971315009956123,-0.00043293514360809304,-0.00043293514360809304
186,Wine Quality,6497,11,3,0.49880945998764237,0.4926716992366911,0,0.493292552990642,-0.001304884296224218,-0.001304884296224218
186,Wine Quality,6497,11,4,0.5197771363869017,0.5190653921645335,0,0.5099097795418597,-0.0002693214739324379,-0.0002693214739324379
186,Wine Quality,6497,11,5,0.5251919527569532,0.5254692652328881,0,0.5288515797284193,-0.00044327609787786493,-0.00044327609787786493
275,Bike Sharing,17379,12,1,0.940419333630554,0.9415081125716565,57,0.9415208286512461,0.9416397212950833,0.9427961645303362
275,Bike Sharing,17379,12,2,0.940105345494745,0.9417987984699189,59,0.9418010831291633,0.9418234780883465,0.9415863181975813
275,Bike Sharing,17379,12,3,0.9372444744833903,0.9365242141978609,58,0.9365356725389963,0.9366569846095472,0.9377931810649075
275,Bike Sharing,17379,12,4,0.9430641690647169,0.9411580239851127,52,0.9411714728020322,0.9413027365262907,0.9426880021020597
275,Bike Sharing,17379,12,5,0.9404406300984276,0.9390609534967841,59,0.9390662191428242,0.9391175578514568,0.9397238216115106
291,Airfoil Self-Noise,1503,5,1,0.9023505975505961,0.9284007615315486,17,0.9305973726710153,0.92629442363183,0.8730065637787777
291,Airfoil Self-Noise,1503,5,2,0.9230078160238148,0.9323717881545155,10,0.942259532033996,0.9408588463583795,0.9070820641814431
291,Airfoil Self-Noise,1503,5,3,0.909177377219236,0.9265304853529925,11,0.9318393539102034,0.9344867677122584,0.894043530272613
291,Airfoil Self-Noise,1503,5,4,0.8975994964436375,0.9259563912772224,12,0.921834197376154,0.9174243463127358,0.8647436905118817
291,Airfoil Self-Noise,1503,5,5,0.8867827873265348,0.9125605933223779,13,0.9109826968364924,0.9061311061373778,0.851138013654263
294,Combined Cycle Power Plant,9568,4,1,0.9707256835067495,0.9688722374451361,38,0.9701870028132682,0.9707445314257522,0.9701517449256236
294,Combined Cycle Power Plant,9568,4,2,0.9690623821449302,0.9678521645335899,42,0.9690417340245502,0.9684237363513166,0.9672320662163607
294,Combined Cycle Power Plant,9568,4,3,0.9646090927704913,0.9600460090695738,42,0.9617392290261398,0.9641644223527287,0.963859017602219
294,Combined Cycle Power Plant,9568,4,4,0.9702437323531738,0.9680485765044597,37,0.9684290801645457,0.9694830674856346,0.9685726382786979
294,Combined Cycle Power Plant,9568,4,5,0.9688019220839689,0.9659181716677829,41,0.9670632447061512,0.9683233082512119,0.9675038597505836
332,Online News Popularity,39644,58,1,0.15994103591043585,0.07287470679978714,0,0.12123687953065931,-0.00011183802458436531,-0.00011183802458436531
332,Online News Popularity,39644,58,2,0.14065833780511205,0.07629213626738163,0,0.11071976312602749,-1.0057538799790322e-05,-1.0057538799790322e-05
332,Online News Popularity,39644,58,3,0.12818483403779046,0.09523569291953504,0,0.13464890684879904,-9.929526002538935e-06,-9.929526002538935e-06
332,Online News Popularity,39644,58,4,0.14514718078195843,0.05571493958365037,0,0.09021690808511518,-5.656410637699949e-05,-5.656410637699949e-05
332,Online News Popularity,39644,58,5,0.14417752041641307,0.0719094327007721,0,0.1152124638070845,-1.070010641246455e-05,-1.070010641246455e-05
368,Facebook Metrics,495,18,1,0.9959963858319695,0.9937893884796618,43,0.9937526893888805,0.9933530264425187,0.9906091786105955
368,Facebook Metrics,495,18,2,0.9998197477196547,0.9938724425881499,36,0.9939122486860473,0.9943208971844013,0.9962947093420076
368,Facebook Metrics,495,18,3,0.9979721449249547,0.9951082478302608,32,0.9951248060020577,0.9952557667405005,0.9950023283546702
368,Facebook Metrics,495,18,4,0.5805533573918001,0.6047421566052747,31,0.604823684623726,0.6055976007943127,0.602290618639317
368,Facebook Metrics,495,18,5,0.9967512892112486,0.9971944459625466,30,0.9972073836299654,0.9973277366711076,0.9973525730019429
374,Appliances Energy Prediction,19735,27,1,0.5248034822535051,0.5311334970171002,71,0.5311382014511148,0.5312117908600988,0.5336449647759254
374,Appliances Energy Prediction,19735,27,2,0.483200230733716,0.5358809980658314,71,0.5358754241825523,0.5358049291172158,0.5349518604614729
374,Appliances Energy Prediction,19735,27,3,0.5264753300875076,0.5579102671130076,63,0.5579170257754301,0.5580974277746825,0.5611851675074779
374,Appliances Energy Prediction,19735,27,4,0.5199566539065448,0.5433989969963954,69,0.5433987829092697,0.5433658629278728,0.5440962612364644
374,Appliances Energy Prediction,19735,27,5,0.5116253690530084,0.5150445897310663,72,0.5150730252229396,0.5152747510678267,0.514259532055856
381,Beijing PM2.5,41757,11,1,0.8251052100612286,0.8284575818002389,65,0.8284755339268545,0.8287095862975027,0.8325160954303013
381,Beijing PM2.5,41757,11,2,0.8398890194670277,0.8376483624962298,61,0.837680752155125,0.8379668472866367,0.8403720545228981
381,Beijing PM2.5,41757,11,3,0.8268733943639841,0.8297820764474211,59,0.8298531125388264,0.8305643295436294,0.8320144537558474
381,Beijing PM2.5,41757,11,4,0.8546173037118241,0.8560625904477752,62,0.8560903635795412,0.8563299994603417,0.8579125757576871
381,Beijing PM2.5,41757,11,5,0.8553474566570674,0.855603844645713,68,0.8556019646961395,0.8556160094213574,0.8579109962846162
409,Daily Demand Forecasting Orders,60,12,1,0.745029565638224,0.7432628217573489,14,0.7421872962025826,0.7249451756220722,0.7390954187667647
409,Daily Demand Forecasting Orders,60,12,2,0.9754345835437936,0.9606527786491469,26,0.9615726994666957,0.9792015661373002,0.976379902918561
409,Daily Demand Forecasting Orders,60,12,3,0.9709306187811404,0.9432762162542621,21,0.9447943185124601,0.9705594036000054,0.9609153107525504
409,Daily Demand Forecasting Orders,60,12,4,0.972056782862857,0.9155576008899323,21,0.9186486736508025,0.9424534126621664,0.9743672382204306
409,Daily Demand Forecasting Orders,60,12,5,0.9822908765632954,0.8941669403774807,20,0.9080872042136687,0.9523697183476649,0.966338526220794
477,Real Estate Valuation,414,6,1,0.7956663731454986,0.7359205349717358,23,0.7508335337829153,0.7492110971570285,0.7552648364492448
477,Real Estate Valuation,414,6,2,0.5803273465129393,0.5342299750728594,23,0.545544708630026,0.5330779603323708,0.5443880060123079
477,Real Estate Valuation,414,6,3,0.744044023618459,0.6827554362527158,25,0.696187737972658,0.7119463452378131,0.7024561959460247
477,Real Estate Valuation,414,6,4,0.7287279114741783,0.7072651200297521,22,0.7004760741750554,0.7232870534788938,0.7303137864909236
477,Real Estate Valuation,414,6,5,0.623111648038571,0.6140258722184134,18,0.6158199984070536,0.6145423872646772,0.6132055377906721
492,Metro Interstate Traffic Volume,48204,7,1,0.0940592076926311,0.08744276084613722,59,0.08744290165889301,0.08744431001806363,0.08745850863145432
492,Metro Interstate Traffic Volume,48204,7,2,0.09074938571991564,0.0925102024507215,54,0.09251038784484,0.09251224121015655,0.09253094093921466
492,Metro Interstate Traffic Volume,48204,7,3,0.08097899336526249,0.07500864884851155,62,0.07500892962453609,0.07501171991815125,0.0750398633160354
492,Metro Interstate Traffic Volume,48204,7,4,0.09216215958598595,0.0913856577681944,64,0.09138584486022183,0.09138771545167446,0.09140638100221976
492,Metro Interstate Traffic Volume,48204,7,5,0.09303714338305957,0.08550507280122455,66,0.08550527241793515,0.08550726897655159,0.08552719489634175
597,Productivity Prediction of Garment Employees,691,13,1,0.8240547639626887,0.7078651047206634,0,-0.005479728811049744,-0.005479728811049744,-0.005479728811049744
597,Productivity Prediction of Garment Employees,691,13,2,0.8547652645181854,0.6701906484598746,0,-0.01599124318491829,-0.01599124318491829,-0.01599124318491829
597,Productivity Prediction of Garment Employees,691,13,3,0.8087029167305038,0.681695996924546,0,-0.008046346516298986,-0.008046346516298986,-0.008046346516298986
597,Productivity Prediction of Garment Employees,691,13,4,0.8531456764359362,0.7061263350379938,0,-0.01470621507876535,-0.01470621507876535,-0.01470621507876535
597,Productivity Prediction of Garment Employees,691,13,5,0.8090718802095698,0.6400311530938914,0,-0.002584692246435427,-0.002584692246435427,-0.002584692246435427
